n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,train_accuracy,val_accuracy,train_val_gap
50,10.0,5,6,log2,balanced,0.9279279279279279,0.5967741935483871,0.33115373437954077
50,10.0,5,6,log2,,0.918918918918919,0.5806451612903226,0.33827375762859635
50,10.0,5,6,,balanced,0.9470720720720721,0.5967741935483871,0.350297878523685
50,10.0,5,6,,,0.9346846846846847,0.5806451612903226,0.35403952339436207
50,10.0,5,8,sqrt,balanced,0.9144144144144144,0.6236559139784946,0.2907585004359198
50,10.0,5,8,sqrt,,0.8986486486486487,0.6182795698924731,0.28036907875617556
50,10.0,5,8,log2,balanced,0.9144144144144144,0.6236559139784946,0.2907585004359198
50,10.0,5,8,log2,,0.8986486486486487,0.6182795698924731,0.28036907875617556
50,10.0,5,8,,balanced,0.918918918918919,0.6182795698924731,0.30063934902644585
50,10.0,5,8,,,0.9121621621621622,0.6129032258064516,0.29925893635571055
50,10.0,10,1,sqrt,balanced,0.9718468468468469,0.6129032258064516,0.35894362104039523
50,10.0,10,1,sqrt,,0.9594594594594594,0.5967741935483871,0.3626852659110723
50,10.0,10,1,log2,balanced,0.9718468468468469,0.6129032258064516,0.35894362104039523
50,10.0,10,1,log2,,0.9594594594594594,0.5967741935483871,0.3626852659110723
50,10.0,10,1,,balanced,0.9831081081081081,0.6021505376344086,0.3809575704736995
50,10.0,10,1,,,0.9752252252252253,0.5967741935483871,0.37845103167683813
50,10.0,10,2,sqrt,balanced,0.9684684684684685,0.6021505376344086,0.36631793083405984
50,10.0,10,2,sqrt,,0.9527027027027027,0.6075268817204301,0.3451758209822726
50,10.0,10,2,log2,balanced,0.9684684684684685,0.6021505376344086,0.36631793083405984
50,10.0,10,2,log2,,0.9527027027027027,0.6075268817204301,0.3451758209822726
50,10.0,10,2,,balanced,0.9774774774774775,0.6182795698924731,0.35919790758500436
50,10.0,10,2,,,0.9707207207207207,0.5967741935483871,0.37394652717233356
50,10.0,10,4,sqrt,balanced,0.956081081081081,0.6344086021505376,0.3216724789305434
50,10.0,10,4,sqrt,,0.9436936936936937,0.6075268817204301,0.3361668119732636
50,10.0,10,4,log2,balanced,0.956081081081081,0.6344086021505376,0.3216724789305434
50,10.0,10,4,log2,,0.9436936936936937,0.6075268817204301,0.3361668119732636
50,10.0,10,4,,balanced,0.9650900900900901,0.5967741935483871,0.36831589654170294
50,10.0,10,4,,,0.956081081081081,0.5967741935483871,0.3593068875326939
50,10.0,10,6,sqrt,balanced,0.9279279279279279,0.5967741935483871,0.33115373437954077
50,10.0,10,6,sqrt,,0.918918918918919,0.5806451612903226,0.33827375762859635
50,10.0,10,6,log2,balanced,0.9279279279279279,0.5967741935483871,0.33115373437954077
50,10.0,10,6,log2,,0.918918918918919,0.5806451612903226,0.33827375762859635
50,10.0,10,6,,balanced,0.9470720720720721,0.5967741935483871,0.350297878523685
50,10.0,10,6,,,0.9346846846846847,0.5806451612903226,0.35403952339436207
50,10.0,10,8,sqrt,balanced,0.9144144144144144,0.6236559139784946,0.2907585004359198
50,10.0,10,8,sqrt,,0.8986486486486487,0.6182795698924731,0.28036907875617556
50,10.0,10,8,log2,balanced,0.9144144144144144,0.6236559139784946,0.2907585004359198
50,10.0,10,8,log2,,0.8986486486486487,0.6182795698924731,0.28036907875617556
50,10.0,10,8,,balanced,0.918918918918919,0.6182795698924731,0.30063934902644585
50,10.0,10,8,,,0.9121621621621622,0.6129032258064516,0.29925893635571055
50,10.0,15,1,sqrt,balanced,0.9538288288288288,0.6021505376344086,0.3516782911944202
50,10.0,15,1,sqrt,,0.9324324324324325,0.6451612903225806,0.28727114210985183
50,10.0,15,1,log2,balanced,0.9538288288288288,0.6021505376344086,0.3516782911944202
50,10.0,15,1,log2,,0.9324324324324325,0.6451612903225806,0.28727114210985183
50,10.0,15,1,,balanced,0.9673423423423423,0.5967741935483871,0.37056814879395517
50,10.0,15,1,,,0.9605855855855856,0.6021505376344086,0.358435047951177
50,10.0,15,2,sqrt,balanced,0.9459459459459459,0.6505376344086021,0.2954083115373438
50,10.0,15,2,sqrt,,0.9256756756756757,0.6451612903225806,0.28051438535309503
50,10.0,15,2,log2,balanced,0.9459459459459459,0.6505376344086021,0.2954083115373438
50,10.0,15,2,log2,,0.9256756756756757,0.6451612903225806,0.28051438535309503
50,10.0,15,2,,balanced,0.9650900900900901,0.6075268817204301,0.35756320836965994
50,10.0,15,2,,,0.9504504504504504,0.5967741935483871,0.3536762569020633
50,10.0,15,4,sqrt,balanced,0.9324324324324325,0.6397849462365591,0.29264748619587333
50,10.0,15,4,sqrt,,0.9166666666666666,0.6182795698924731,0.2983870967741935
50,10.0,15,4,log2,balanced,0.9324324324324325,0.6397849462365591,0.29264748619587333
50,10.0,15,4,log2,,0.9166666666666666,0.6182795698924731,0.2983870967741935
50,10.0,15,4,,balanced,0.956081081081081,0.6075268817204301,0.3485541993606509
50,10.0,15,4,,,0.9358108108108109,0.5806451612903226,0.35516564952048824
50,10.0,15,6,sqrt,balanced,0.9268018018018018,0.5913978494623656,0.3354039523394362
50,10.0,15,6,sqrt,,0.9054054054054054,0.6182795698924731,0.28712583551293225
50,10.0,15,6,log2,balanced,0.9268018018018018,0.5913978494623656,0.3354039523394362
50,10.0,15,6,log2,,0.9054054054054054,0.6182795698924731,0.28712583551293225
50,10.0,15,6,,balanced,0.9414414414414415,0.6129032258064516,0.32853821563498986
50,10.0,15,6,,,0.9279279279279279,0.5913978494623656,0.33653007846556227
50,10.0,15,8,sqrt,balanced,0.9144144144144144,0.6236559139784946,0.2907585004359198
50,10.0,15,8,sqrt,,0.8986486486486487,0.6182795698924731,0.28036907875617556
50,10.0,15,8,log2,balanced,0.9144144144144144,0.6236559139784946,0.2907585004359198
50,10.0,15,8,log2,,0.8986486486486487,0.6182795698924731,0.28036907875617556
50,10.0,15,8,,balanced,0.918918918918919,0.6182795698924731,0.30063934902644585
50,10.0,15,8,,,0.9121621621621622,0.6129032258064516,0.29925893635571055
50,20.0,2,1,sqrt,balanced,1.0,0.6290322580645161,0.3709677419354839
50,20.0,2,1,sqrt,,1.0,0.6182795698924731,0.3817204301075269
50,20.0,2,1,log2,balanced,1.0,0.6290322580645161,0.3709677419354839
50,20.0,2,1,log2,,1.0,0.6182795698924731,0.3817204301075269
50,20.0,2,1,,balanced,1.0,0.5967741935483871,0.4032258064516129
50,20.0,2,1,,,1.0,0.6344086021505376,0.3655913978494624
50,20.0,2,2,sqrt,balanced,0.9943693693693694,0.6182795698924731,0.37608979947689625
50,20.0,2,2,sqrt,,0.9977477477477478,0.6344086021505376,0.36333914559721014
50,20.0,2,2,log2,balanced,0.9943693693693694,0.6182795698924731,0.37608979947689625
50,20.0,2,2,log2,,0.9977477477477478,0.6344086021505376,0.36333914559721014
50,20.0,2,2,,balanced,0.9977477477477478,0.6505376344086021,0.34721011333914564
50,20.0,2,2,,,0.9977477477477478,0.6182795698924731,0.37946817785527465
50,20.0,2,4,sqrt,balanced,0.9695945945945946,0.6182795698924731,0.3513150247021215
50,20.0,2,4,sqrt,,0.954954954954955,0.6505376344086021,0.30441732054635284
50,20.0,2,4,log2,balanced,0.9695945945945946,0.6182795698924731,0.3513150247021215
50,20.0,2,4,log2,,0.954954954954955,0.6505376344086021,0.30441732054635284
